min_values,max_values
-1818.19011111094,1737.6808888890155
9.70282540436934,2094.0032137105
15793.287689697307,73151.93588485921
18.37119228429987,81.33193321324616
15771.402751755691,73159.22753227704
-24.60160905701233,19.91115728384889
15821.117051082085,73253.48022174262
15762.234764586132,73028.13663998524
15965.82,138070.0
15486.74,72548.45
-595.255119093541,474.6786549027456
-458.3976729855476,391.5927764876982
15907.389116372937,74602.7687594057
15784.958727272913,73146.76563636384
15395.782218966157,72749.89773343666
-1818.19011111094,1737.6808888890155
9.70282540436934,2094.0032137105
15793.287689697307,73151.93588485921
18.37119228429987,81.33193321324616
15771.402751755691,73159.22753227704
-24.60160905701233,19.91115728384889
15821.117051082085,73253.48022174262
15762.234764586132,73028.13663998524
15965.82,138070.0
15486.74,72548.45
-595.255119093541,474.6786549027456
-458.3976729855476,391.5927764876982
15907.389116372937,74602.7687594057
15784.958727272913,73146.76563636384
15395.782218966157,72749.89773343666
-1818.19011111094,1737.6808888890155
9.70282540436934,2094.0032137105
15793.287689697307,73151.93588485921
18.37119228429987,81.33193321324616
15771.402751755691,73159.22753227704
-24.60160905701233,19.91115728384889
15821.117051082085,73253.48022174262
15762.234764586132,73028.13663998524
15965.82,138070.0
15486.74,72548.45
-595.255119093541,474.6786549027456
-458.3976729855476,391.5927764876982
15907.389116372937,74602.7687594057
15784.958727272913,73146.76563636384
15395.782218966157,72749.89773343666
-1818.19011111094,1737.6808888890155
9.70282540436934,2094.0032137105
15793.287689697307,73151.93588485921
18.37119228429987,81.33193321324616
15771.402751755691,73159.22753227704
-24.60160905701233,19.91115728384889
15821.117051082085,73253.48022174262
15762.234764586132,73028.13663998524
15965.82,138070.0
15486.74,72548.45
-595.255119093541,474.6786549027456
-458.3976729855476,391.5927764876982
15907.389116372937,74602.7687594057
15784.958727272913,73146.76563636384
15395.782218966157,72749.89773343666
-1818.19011111094,1737.6808888890155
